conversation_id,domain,turn_id,speaker,text,intent,dialogue_act
conv_0021,customer_support,0,user,My product is not working properly,complaint,statement
conv_0021,customer_support,1,bot,Is there anything else I can help with?,help,question
conv_0021,customer_support,2,user,Hello; can you assist me?,greeting,question
conv_0021,customer_support,3,bot,Have a great day!,other,statement
conv_0021,customer_support,4,user,I have a question about my bill,inquiry,statement
conv_0021,customer_support,5,bot,Is there anything else I can help with?,help,question
conv_0021,customer_support,6,user,Can you help me return this item?,help,question
conv_0021,customer_support,7,bot,Have a great day!,other,statement
conv_0020,booking,0,user,Thank you for your help,help,statement
conv_0020,booking,1,bot,What dates are you looking for?,inquiry,question
conv_0020,booking,2,user,Hello; I'd like to make a reservation,greeting,greeting
conv_0020,booking,3,bot,I can help you book that,help,statement
conv_0020,booking,4,user,What are your prices?,inquiry,question
conv_0020,booking,5,bot,Your booking is confirmed,booking,statement
conv_0020,booking,6,user,What are your prices?,inquiry,question
conv_0020,booking,7,bot,Thank you for booking with us,booking,statement
conv_0020,booking,8,user,Thank you for your help,help,statement
conv_0020,booking,9,bot,What dates are you looking for?,inquiry,question
conv_0020,booking,10,user,I want to book a room,booking,statement
conv_0025,general_chat,0,user,Bye bye,farewell,farewell
conv_0025,general_chat,1,bot,That's a great question,inquiry,statement
conv_0025,general_chat,2,user,Hello; how are you?,greeting,question
conv_0025,general_chat,3,bot,That's a great question,inquiry,statement
conv_0012,booking,0,user,Hello; I'd like to make a reservation,greeting,greeting
conv_0012,booking,1,bot,Let me check availability,other,statement
conv_0012,booking,2,user,Thank you for your help,help,statement
conv_0012,booking,3,bot,Would you like to add anything else?,other,question
conv_0012,booking,4,user,Hello; I'd like to make a reservation,greeting,greeting
conv_0012,booking,5,bot,Let me show you our options,other,statement
conv_0038,general_chat,0,user,Thanks for your help,help,statement
conv_0038,general_chat,1,bot,Have a wonderful day,other,statement
conv_0038,general_chat,2,user,Hello; how are you?,greeting,question
conv_0038,general_chat,3,bot,Here's a fun fact for you,other,statement
conv_0038,general_chat,4,user,Bye bye,farewell,farewell
conv_0038,general_chat,5,bot,That's a great question,inquiry,statement
conv_0038,general_chat,6,user,That's interesting,other,statement
conv_0038,general_chat,7,bot,Here's a fun fact for you,other,statement
conv_0038,general_chat,8,user,Hello; how are you?,greeting,question
conv_0038,general_chat,9,bot,I'm happy to chat with you,other,statement
conv_0038,general_chat,10,user,Tell me a joke,inquiry,statement
conv_0038,general_chat,11,bot,Have a wonderful day,other,statement
conv_0032,general_chat,0,user,Hello; how are you?,greeting,question
conv_0032,general_chat,1,bot,I'm doing great; thanks!,thanks,statement
conv_0032,general_chat,2,user,Tell me a joke,inquiry,statement
