text,speaker,dialogue_act
Tell me a joke,user,statement
Here's a fun fact for you,bot,statement
Tell me a joke,user,statement
Have a wonderful day,bot,statement
Tell me a joke,user,statement
Have a wonderful day,bot,statement
Tell me a joke,user,statement
Is there anything you'd like to know?,bot,question
"Hello, how are you?",user,question
I'm happy to chat with you,bot,statement
Thanks for your help,user,statement
My product is not working properly,user,statement
I apologize for the inconvenience,bot,statement
Goodbye,user,farewell
Let me transfer you to a specialist,bot,statement
Thanks for your help,user,statement
Hi there,user,greeting
Is there anything you'd like to know?,bot,question
Bye bye,user,farewell
Have a wonderful day,bot,statement
My product is not working properly,user,statement
I'd be happy to help with that,bot,statement
I have a question about my bill,user,statement
Thank you for contacting support,bot,statement
I have a question about my bill,user,statement
I'd be happy to help with that,bot,statement
"Hello, can you assist me?",user,question
Thank you for contacting support,bot,statement
Can you help me return this item?,user,question
Is there anything else I can help with?,bot,question
That's interesting,user,statement
Have a wonderful day,bot,statement
Tell me a joke,user,statement
Is there anything you'd like to know?,bot,question
Tell me a joke,user,statement
"I'm doing great, thanks!",bot,statement
Thanks for your help,user,statement
Here's a fun fact for you,bot,statement
Bye bye,user,farewell
I'm happy to chat with you,bot,statement
See you later,user,farewell
Here's a fun fact for you,bot,statement
Goodbye,user,farewell
Have a great day!,bot,statement
When will my package arrive?,user,question
Have a great day!,bot,statement
When will my package arrive?,user,question
Is there anything else I can help with?,bot,question
Goodbye,user,farewell
Have a great day!,bot,statement
Can you help me return this item?,user,question
Let me check your order status,bot,statement
My product is not working properly,user,statement
Tell me a joke,user,statement
I'm happy to chat with you,bot,statement
Tell me a joke,user,statement
Is there anything you'd like to know?,bot,question
What's the weather like?,user,question
That's a great question,bot,statement
Bye bye,user,farewell
I'm happy to chat with you,bot,statement
Hi there,user,greeting
Is there anything you'd like to know?,bot,question
Thanks for your help,user,statement
Here's a fun fact for you,bot,statement
What are your prices?,user,question
Let me check availability,bot,statement
I want to book a room,user,statement
Your booking is confirmed,bot,statement
"Hello, I'd like to make a reservation",user,greeting
Let me show you our options,bot,statement
Thanks for your help,user,statement
I apologize for the inconvenience,bot,statement
"Hi, I need help with my order",user,greeting
Is there anything else I can help with?,bot,question
Can I cancel my booking?,user,question
Thank you for booking with us,bot,statement
Can I cancel my booking?,user,question
Thank you for booking with us,bot,statement
Thank you for your help,user,statement
Your booking is confirmed,bot,statement
Do you have availability?,user,question
Would you like to add anything else?,bot,question
My product is not working properly,user,statement
Thank you for contacting support,bot,statement
Goodbye,user,farewell
I'd be happy to help with that,bot,statement
"Hello, can you assist me?",user,question
I apologize for the inconvenience,bot,statement
"Hello, can you assist me?",user,question
Let me check your order status,bot,statement
Goodbye,user,farewell
I apologize for the inconvenience,bot,statement
Goodbye,user,farewell
Let me transfer you to a specialist,bot,statement
"Hello, can you assist me?",user,question
Thank you for contacting support,bot,statement
I have a question about my bill,user,statement
Thank you for contacting support,bot,statement
"Hello, can you assist me?",user,question
Let me transfer you to a specialist,bot,statement
Goodbye,user,farewell
Let me check your order status,bot,statement
When will my package arrive?,user,question
Let me transfer you to a specialist,bot,statement
My product is not working properly,user,statement
Have a great day!,bot,statement
Thanks for your help,user,statement
I apologize for the inconvenience,bot,statement
My product is not working properly,user,statement
