text,intent,confidence
Tell me a joke,inquiry,0.8
Tell me a joke,inquiry,0.8
Tell me a joke,inquiry,0.8
Tell me a joke,inquiry,0.8
"Hello, how are you?",greeting,0.8
Thanks for your help,help,0.8
My product is not working properly,complaint,0.8
Goodbye,farewell,0.8
Thanks for your help,help,0.8
Hi there,greeting,0.8
Bye bye,farewell,0.8
My product is not working properly,complaint,0.8
I have a question about my bill,inquiry,0.8
I have a question about my bill,inquiry,0.8
"Hello, can you assist me?",greeting,0.8
Can you help me return this item?,help,0.8
That's interesting,other,0.3
Tell me a joke,inquiry,0.8
Tell me a joke,inquiry,0.8
Thanks for your help,help,0.8
Bye bye,farewell,0.8
See you later,farewell,0.8
Goodbye,farewell,0.8
When will my package arrive?,inquiry,0.8
When will my package arrive?,inquiry,0.8
Goodbye,farewell,0.8
Can you help me return this item?,help,0.8
My product is not working properly,complaint,0.8
Tell me a joke,inquiry,0.8
Tell me a joke,inquiry,0.8
What's the weather like?,inquiry,0.8
Bye bye,farewell,0.8
Hi there,greeting,0.8
Thanks for your help,help,0.8
What are your prices?,inquiry,0.8
I want to book a room,booking,0.8
"Hello, I'd like to make a reservation",greeting,0.8
Thanks for your help,help,0.8
"Hi, I need help with my order",greeting,0.8
Can I cancel my booking?,booking,0.8
Can I cancel my booking?,booking,0.8
Thank you for your help,help,0.8
Do you have availability?,other,0.3
My product is not working properly,complaint,0.8
Goodbye,farewell,0.8
"Hello, can you assist me?",greeting,0.8
"Hello, can you assist me?",greeting,0.8
Goodbye,farewell,0.8
Goodbye,farewell,0.8
"Hello, can you assist me?",greeting,0.8
I have a question about my bill,inquiry,0.8
"Hello, can you assist me?",greeting,0.8
Goodbye,farewell,0.8
When will my package arrive?,inquiry,0.8
My product is not working properly,complaint,0.8
Thanks for your help,help,0.8
My product is not working properly,complaint,0.8
"Hi, I need help with my order",greeting,0.8
"Hi, I need help with my order",greeting,0.8
I want to book a room,booking,0.8
Can I cancel my booking?,booking,0.8
Thanks for your help,help,0.8
Can you help me return this item?,help,0.8
When will my package arrive?,inquiry,0.8
Thanks for your help,help,0.8
Tell me a joke,inquiry,0.8
Can you help me return this item?,help,0.8
Can you help me return this item?,help,0.8
I have a question about my bill,inquiry,0.8
"Hello, I'd like to make a reservation",greeting,0.8
Can I cancel my booking?,booking,0.8
"Hi, I need help with my order",greeting,0.8
"Hello, can you assist me?",greeting,0.8
"Hi, I need help with my order",greeting,0.8
Goodbye,farewell,0.8
Can you help me return this item?,help,0.8
"Hi, I need help with my order",greeting,0.8
"Hi, I need help with my order",greeting,0.8
"Hi, I need help with my order",greeting,0.8
My product is not working properly,complaint,0.8
"Hi, I need help with my order",greeting,0.8
My product is not working properly,complaint,0.8
Can I cancel my booking?,booking,0.8
Is breakfast included?,other,0.3
I want to book a room,booking,0.8
Thank you for your help,help,0.8
What are your prices?,inquiry,0.8
I want to book a room,booking,0.8
See you later,farewell,0.8
What's the weather like?,inquiry,0.8
Hi there,greeting,0.8
What's the weather like?,inquiry,0.8
"Hello, how are you?",greeting,0.8
"Hello, how are you?",greeting,0.8
Is breakfast included?,other,0.3
Goodbye,farewell,0.8
Can I cancel my booking?,booking,0.8
What's the weather like?,inquiry,0.8
Tell me a joke,inquiry,0.8
Hi there,greeting,0.8
Bye bye,farewell,0.8
Bye bye,farewell,0.8
Hi there,greeting,0.8
See you later,farewell,0.8
What's the weather like?,inquiry,0.8
That's interesting,other,0.3
Is breakfast included?,other,0.3
Can I cancel my booking?,booking,0.8
Thank you for your help,help,0.8
"Hello, I'd like to make a reservation",greeting,0.8
I have a question about my bill,inquiry,0.8
"Hello, can you assist me?",greeting,0.8
"Hello, can you assist me?",greeting,0.8
"Hello, can you assist me?",greeting,0.8
I have a question about my bill,inquiry,0.8
"Hello, can you assist me?",greeting,0.8
When will my package arrive?,inquiry,0.8
"Hi, I need help with my order",greeting,0.8
My product is not working properly,complaint,0.8
Do you have availability?,other,0.3
"Hello, I'd like to make a reservation",greeting,0.8
What are your prices?,inquiry,0.8
Do you have availability?,other,0.3
When will my package arrive?,inquiry,0.8
Goodbye,farewell,0.8
When will my package arrive?,inquiry,0.8
Goodbye,farewell,0.8
When will my package arrive?,inquiry,0.8
See you later,farewell,0.8
See you later,farewell,0.8
"Hello, how are you?",greeting,0.8
Hi there,greeting,0.8
Tell me a joke,inquiry,0.8
My product is not working properly,complaint,0.8
"Hi, I need help with my order",greeting,0.8
"Hi, I need help with my order",greeting,0.8
"Hello, can you assist me?",greeting,0.8
I have a question about my bill,inquiry,0.8
Can you help me return this item?,help,0.8
I have a question about my bill,inquiry,0.8
I have a question about my bill,inquiry,0.8
"Hello, can you assist me?",greeting,0.8
Goodbye,farewell,0.8
Do you have availability?,other,0.3
Is breakfast included?,other,0.3
Is breakfast included?,other,0.3
Do you have availability?,other,0.3
I want to book a room,booking,0.8
Goodbye,farewell,0.8
"Hi, I need help with my order",greeting,0.8
Thanks for your help,help,0.8
"Hi, I need help with my order",greeting,0.8
"Hello, how are you?",greeting,0.8
Bye bye,farewell,0.8
Thanks for your help,help,0.8
"Hello, how are you?",greeting,0.8
That's interesting,other,0.3
What are your prices?,inquiry,0.8
What are your prices?,inquiry,0.8
What are your prices?,inquiry,0.8
What are your prices?,inquiry,0.8
Thank you for your help,help,0.8
I want to book a room,booking,0.8
Goodbye,farewell,0.8
I have a question about my bill,inquiry,0.8
"Hello, can you assist me?",greeting,0.8
"Hi, I need help with my order",greeting,0.8
Do you have availability?,other,0.3
Is breakfast included?,other,0.3
I want to book a room,booking,0.8
Thank you for your help,help,0.8
Thank you for your help,help,0.8
Goodbye,farewell,0.8
When will my package arrive?,inquiry,0.8
I have a question about my bill,inquiry,0.8
"Hello, can you assist me?",greeting,0.8
My product is not working properly,complaint,0.8
Goodbye,farewell,0.8
My product is not working properly,complaint,0.8
Thanks for your help,help,0.8
When will my package arrive?,inquiry,0.8
Thanks for your help,help,0.8
Goodbye,farewell,0.8
"Hello, I'd like to make a reservation",greeting,0.8
Is breakfast included?,other,0.3
"Hello, I'd like to make a reservation",greeting,0.8
Thank you for your help,help,0.8
Goodbye,farewell,0.8
"Hello, can you assist me?",greeting,0.8
I have a question about my bill,inquiry,0.8
When will my package arrive?,inquiry,0.8
I have a question about my bill,inquiry,0.8
I have a question about my bill,inquiry,0.8
Goodbye,farewell,0.8
Do you have availability?,other,0.3
